"","FP","YTG","EP_Go_For_It","EP_Alternative","Best_Decision","P_Success"
"1",1,1,0.966633785492365,5.46,"Punt",0.593149598431607
"2",2,1,1.39614708387226,4.74,"Punt",0.594668028106164
"3",3,1,1.45912769057967,5.3,"Punt",0.59618464885992
"4",4,1,1.47642069017191,5.01,"Punt",0.597699433920246
"5",5,1,1.37949406594517,5.07,"Punt",0.599212356651958
"6",6,1,1.50075646782149,5.05,"Punt",0.600723390559047
"7",7,1,1.69700791238497,4.94,"Punt",0.602232509286394
"8",8,1,1.07593692374728,4.64,"Punt",0.603739686621462
"9",9,1,1.45613427116985,4.62,"Punt",0.605244896495961
"10",10,1,1.54209428060273,4.67,"Punt",0.606748112987499
"11",11,1,1.0497085032257,5.09,"Punt",0.6082493103212
"12",12,1,1.21041855824279,4.71,"Punt",0.609748462871311
"13",13,1,1.41744335256314,4.6,"Punt",0.611245545162779
"14",14,1,1.27260240171604,4.99,"Punt",0.612740531872805
"15",15,1,1.5462282658628,5.1,"Punt",0.614233397832379
"16",16,1,1.49383154461062,5.25,"Punt",0.615724118027785
"17",17,1,1.35749590855916,4.84,"Punt",0.617212667602094
"18",18,1,1.31008789348514,4.71,"Punt",0.618699021856621
"19",19,1,1.33227221658406,5.3,"Punt",0.620183156252362
"20",20,1,1.32230138765965,4.97,"Punt",0.621665046411416
"21",21,1,1.55334604734225,4.81,"Punt",0.623144668118368
"22",22,1,1.51132581396654,5.19,"Punt",0.62462199732166
"23",23,1,1.5397414499982,4.79,"Punt",0.626097010134933
"24",24,1,1.16322993285861,4.71,"Punt",0.627569682838342
"25",25,1,1.15894312423903,4.95,"Punt",0.629039991879853
"26",26,1,1.71050295168364,4.81,"Punt",0.630507913876512
"27",27,1,1.72854355719136,4.98,"Punt",0.631973425615685
"28",28,1,1.45095948772343,5.01,"Punt",0.633436504056283
"29",29,1,1.26200664844566,5.01,"Punt",0.634897126329952
"30",30,1,1.36083295465444,5.27,"Punt",0.636355269742246
"31",31,1,1.58353202508476,5.1,"Punt",0.637810911773772
"32",32,1,1.32770782622768,4.75,"Punt",0.639264030081305
"33",33,1,1.47678872373944,5.48,"Punt",0.640714602498889
"34",34,1,1.55162607038901,5.26,"Punt",0.642162607038901
"35",35,1,1.45102765739849,4.49,"Punt",0.643608021893101
"36",36,1,1.9424536800474,4.63,"Punt",0.645050825433643
"37",37,1,1.58984865369298,5.1,"Punt",0.646490996214076
"38",38,1,1.27336798918427,4.89,"Punt",0.647928512970308
"39",39,1,1.47091072033305,4.73,"Punt",0.64936335462155
"40",40,1,1.42144588253877,4.68,"Punt",0.650795500271236
"41",41,1,1.58354904845038,4.58,"Punt",0.652224929207909
"42",42,1,1.46896007442666,4.45,"Punt",0.653651620906093
"43",43,1,1.41466488423877,4.61,"Punt",0.655075555027133
"44",44,1,1.81527221285749,4.68,"Punt",0.656496711420009
"45",45,1,1.5428418250628,4.37,"Punt",0.657915070122128
"46",46,1,1.54857892975931,4.69,"Punt",0.65933061136009
"47",47,1,1.33437973301848,4.22,"Punt",0.660743315550424
"48",48,1,1.55072586155488,4.43,"Punt",0.662153163300305
"49",49,1,1.45811764440175,3.84,"Punt",0.663560135408243
"50",50,1,1.4803060856302,3.84,"Punt",0.664964212864745
"51",51,1,1.53704434692748,4.76,"Punt",0.666365376852954
"52",52,1,1.76237213609393,3.49,"Punt",0.667763608749263
"53",53,1,1.42730852299192,4.37,"Punt",0.6691588901239
"54",54,1,1.61977028171522,4.65,"Punt",0.670551202741494
"55",55,1,1.63390966890586,3.92,"Punt",0.671940528561612
"56",56,1,1.95580585055434,4.49,"Punt",0.673326849739269
"57",57,1,1.32565365950161,4.18,"Punt",0.674710148625419
"58",58,1,1.40029027417838,4.19,"Punt",0.676090407767416
"59",59,1,1.24463122187874,3.96,"Punt",0.677467609909454
"60",60,1,1.97118802377202,-0.565647015903223,"Go For It",0.678841737992977
"61",61,1,1.60974264583171,-0.648964159688199,"Go For It",0.680212775157071
"62",62,1,1.9331225205353,-0.234555548706658,"Go For It",0.681580704738828
"63",63,1,1.89774965376421,-0.130142413812902,"Go For It",0.682945510273684
"64",64,1,1.33350915350127,0.11360196778634,"Go For It",0.684307175495734
"65",65,1,1.53408347075379,0.144141876164067,"Go For It",0.685665684338027
"66",66,1,1.69318672581747,0.327417477152378,"Go For It",0.687021020932829
"67",67,1,1.55489437915751,0.555410047136613,"Go For It",0.68837316961187
"68",68,1,1.79482944698475,0.714884530537268,"Go For It",0.689722114906559
"69",69,1,1.70107464442654,1.08200302936874,"Go For It",0.691067841548183
"70",70,1,1.53556790386376,1.15269131481602,"Go For It",0.692410334468078
"71",71,1,1.49630841012641,1.22315965151539,"Go For It",0.693749578797777
"72",72,1,1.68793677552014,1.3924187894712,"Go For It",0.695085559869135
"73",73,1,1.3791970636441,1.61582929309552,"Field Goal",0.69641826321443
"74",74,1,1.21998580370493,1.61871264563824,"Field Goal",0.697747674566445
"75",75,1,1.60069180533092,1.83112086211831,"Field Goal",0.69907377985852
"76",76,1,1.77858891528251,1.94777553929264,"Field Goal",0.700396565224586
"77",77,1,1.60595895809235,1.9946030920738,"Field Goal",0.701716016999178
"78",78,1,1.47244070154263,2.08762686012466,"Field Goal",0.703032121717417
"79",79,1,1.20614724369601,2.14354946495545,"Field Goal",0.704344866114985
"80",80,1,1.00934698176702,2.26842187206958,"Field Goal",0.705654237128057
"81",81,1,1.6214331903823,2.32963016111345,"Field Goal",0.706960221893233
"82",82,1,1.20148175008557,2.38237793336911,"Field Goal",0.708262807747429
"83",83,1,1.1640738725855,2.39158416698781,"Field Goal",0.70956198222776
"84",84,1,1.65760557752471,2.47865480747917,"Field Goal",0.710857733071398
"85",85,1,2.15768693924229,2.5708319079803,"Field Goal",0.7121500482154
"86",86,1,1.44310454227989,2.5460924339264,"Field Goal",0.71343891579653
"87",87,1,2.15570940371421,2.62553534813085,"Field Goal",0.714724324151046
"88",88,1,1.81805009451583,2.70099649048397,"Field Goal",0.716006261814479
"89",89,1,1.64100683311547,2.69710554084077,"Field Goal",0.717284717521377
"90",90,1,1.65589597966478,2.69724986432855,"Field Goal",0.718559680205043
"91",91,1,1.47240426352394,2.73473328984298,"Field Goal",0.719831138997243
"92",92,1,1.43328725327575,2.77993235806049,"Field Goal",0.721099083227899
"93",93,1,1.97741512738054,2.80074614021375,"Field Goal",0.722363502424761
"94",94,1,1.59628932953263,2.81100153758744,"Field Goal",0.723624386313055
"95",95,1,1.88293079232871,2.83848134419707,"Field Goal",0.724881724815123
"96",96,1,1.51306022486528,2.84362362868056,"Field Goal",0.72613550805003
"97",97,1,2.16290297279835,2.86628625213474,"Field Goal",0.727385726333162
"98",98,1,1.05493499616091,2.87677399943537,"Field Goal",0.728632370175801
"99",99,1,1.64737672539558,2.88179911648303,"Field Goal",0.729875430284683
"100",1,2,0.717478137383295,5.4,"Punt",0.552615511767884
"101",2,2,1.19466703411963,4.59,"Punt",0.554171514892691
"102",3,2,0.917018472105834,5.43,"Punt",0.55572645702171
"103",4,2,0.843327779674953,5.18,"Punt",0.557280308454964
"104",5,2,1.08684259413832,5.24,"Punt",0.558833039577328
"105",6,2,0.825200051256519,4.86,"Punt",0.560384620860739
"106",7,2,0.83369910442553,4.73,"Punt",0.56193502286639
"107",8,2,1.07937468243508,4.76,"Punt",0.563484216246916
"108",9,2,1.18179276291185,5.65,"Punt",0.565032171748555
"109",10,2,1.20685972536028,4.62,"Punt",0.566578860213306
"110",11,2,1.21833691111668,5.07,"Punt",0.568124252581058
"111",12,2,0.904019683729041,5.44,"Punt",0.569668319891713
"112",13,2,1.0980813135939,4.54,"Punt",0.571211033287291
"113",14,2,1.27659698533031,5.26,"Punt",0.572752364014012
"114",15,2,1.38043468937672,5.29,"Punt",0.574292283424373
"115",16,2,0.833733632230061,4.68,"Punt",0.575830762979195
"116",17,2,1.04838868923431,5,"Punt",0.577367774249659
"117",18,2,0.786965093611853,5.07,"Punt",0.578903288919328
"118",19,2,1.33402526131577,4.34,"Punt",0.580437278786143
"119",20,2,1.00707290544657,4.8,"Punt",0.581969715764406
"120",21,2,1.14748063308439,4.17,"Punt",0.58350057188674
"121",22,2,1.01234014184773,5.19,"Punt",0.585029819306036
"122",23,2,1.12836447170054,4.88,"Punt",0.586557430297378
"123",24,2,0.556740432237854,4.78,"Punt",0.588083377259945
"124",25,2,1.41537643450234,5.16,"Punt",0.589607632718898
"125",26,2,1.49351915094069,5.02,"Punt",0.59113016932725
"126",27,2,1.16758043636831,5.22,"Punt",0.592650959867703
"127",28,2,1.10562368005082,5.18,"Punt",0.59416997725448
"128",29,2,1.01005251231296,4.87,"Punt",0.595687194535129
"129",30,2,1.20731265987256,4.73,"Punt",0.597202584892302
"130",31,2,1.19123824915649,5.33,"Punt",0.598716121645522
"131",32,2,1.01020489348829,5.18,"Punt",0.600227778252922
"132",33,2,1.07944662670227,5.1,"Punt",0.601737528312966
"133",34,2,1.19451836257278,4.66,"Punt",0.603245345566145
"134",35,2,1.21228571468023,5.05,"Punt",0.604751203896655
"135",36,2,1.48492445323363,4.96,"Punt",0.606255077334048
"136",37,2,0.574510585098732,4.73,"Punt",0.607756940054866
"137",38,2,1.32966157765884,4.61,"Punt",0.60925676638425
"138",39,2,1.062513215747,4.11,"Punt",0.610754530797522
"139",40,2,1.46699208753442,4.77,"Punt",0.612250207921755
"140",41,2,1.270518579188,4.56,"Punt",0.613743772537307
"141",42,2,1.49690313161252,4.63,"Punt",0.61523519957934
